feature,importance
vocab_diversity,8597
text_length,8052
integrity_index,6387
word_count,6089
avg_sentence_len,5774
title_length,5279
number_density,4779
sentence_uniformity,4256
burstiness,3643
n_sentences,2381
ai_phrase_density,2262
round_number_ratio,1970
terminal_zero_bias,1796
n_numbers,1771
benford_deviation,1244
sig_word_count,1095
title_has_numbers,1066
predatory_journal,513
min_sample,469
method_good_count,417
ai_phrase_count,292
high_risk_subject,278
n_pvalues,220
max_sample,212
high_risk_combo,159
citation_density,148
self_cite_signals,100
repro_positive,96
n_samples_found,83
title_hype_count,82
methodology_score,61
method_bad_count,46
n_citations,37
tiny_sample,26
pval_cluster,1
has_p05,0
repro_negative,0
